"type","name_en","name_th","effect_th","code"
"action","Wrong House","ผิดบ้านแล้ว!","ผู้เล่นทุกคนที่ไม่ได้อาศัยอยู่ที่นี่ จั่วไพ่คนละ 2 ใบ","A001"
"action","Oh No! Babies!","โอ้ไม่นะ! เด็กใหม่!","ผู้เล่นทุกคนที่ไม่เคยเล่นเกมนี้มาก่อน จั่วไพ่คนละ 3 ใบ","A002"
"action","Shoot Your Problems","ยิงปัญหาทิ้งซะ","ทิ้ง Trap ที่วางไว้ใบใดก็ได้รวม 3 ใบ","A003"
"action","Parallel Universe","จักรวาลคู่ขนาน","จั่วไพ่เพิ่มเท่ากับจำนวนไพ่ที่คุณมีอยู่ในมือตอนนี้","A004"
"action","Rejects","พวกถูกทิ้ง","ขโมยไพ่ 1 ใบจากผู้เล่นคนอื่นทุกคน จากนั้นเก็บไว้ 1 ใบ และทิ้งไพ่ที่เหลือ","A005"
"action","Showdown","ดวลสายตา","Mini-Game: แข่งจ้องตากับผู้เล่นอีก 1 คน ผู้ชนะจั่วไพ่ 3 ใบ","A006"
"action","Mystery Button","ปุ่มปริศนา","Mini-Game: โยนเหรียญ ถ้าออกหัว จั่ว 3 ใบ ถ้าออกก้อย ทิ้ง 3 ใบ","A007"
"action","Throw The Cheese","ปาชีส!","ผู้เล่นคนอื่นทั้งหมดทิ้งไพ่คนละ 1 ใบ","A008"
"action","Quickfire","ยิงรัว!","ผู้เล่นคนอื่นทั้งหมดต้องนำ Trap ทุกใบที่อยู่ในมือออกมาวางเป็น Trap","A009"
"action","You're A Chair","นายคือเก้าอี้","ผู้เล่นทุกคนย้ายที่นั่งไปทางขวา โดยทิ้ง Trap ที่วางไว้ให้อยู่ที่เดิม","A010"
"action","I Am Lonely","ฉันเหงา","ผู้เล่นทุกคนที่ไม่ได้อยู่ในความสัมพันธ์ จั่วไพ่คนละ 2 ใบ","A011"
"action","Nice Hat","หมวกสวยนะ","ผู้เล่นทุกคนที่สวมหมวก ทิ้งไพ่คนละ 3 ใบ","A012"
"action","Parked Car","รถจอดอยู่","ผู้เล่นทุกคนที่ขับรถเป็น ทิ้งไพ่คนละ 1 ใบ","A013"
"action","Pull My Finger","ดึงนิ้วฉันสิ","เลือกผู้เล่น 1 คนให้ขโมยไพ่จากมือคุณ 1 ใบ","A014"
"action","Punch 'Em","ต่อยเลย!","เลือกผู้เล่นอีก 1 คนให้ทิ้ง Trap ที่วางไว้ทั้งหมด","A015"
"action","Take 'Em Out","จัดการมัน!","เลือกผู้เล่นอีก 1 คนให้ทิ้งไพ่ทั้งหมดในมือ","A016"
"action","You're Blind","นายตาบอด","เลือกผู้เล่นอีก 1 คนให้จั่วไพ่ใบบนสุดของกองและเล่นใบนั้น หากเป็น Trap หรือ Counter ให้ทิ้งไปจนกว่าจะได้ Action","A017"
"action","You Can Wait","รอไปก่อนนะ","เลือกผู้เล่นอีก 1 คนให้ข้ามเทิร์น","A018"
"action","We're All Gonna Die","เราจะตายกันหมด!","ไพ่ Counter ไม่สามารถใช้งานได้จนถึงเทิร์นถัดไปของคุณ","A019"
"action","New You","ตัวตนใหม่","ทิ้งไพ่ทั้งหมดในมือ แล้วจั่วไพ่ใหม่ในจำนวนเท่ากัน","A020"
"action","Seen My Pony?","เห็นโพนี่ของฉันไหม?","หาก “Magical Pony” อยู่ในกองทิ้ง ให้นำไพ่ใบนั้นมาใส่ในมือคุณ","A021"
"action","Single","ตัวคนเดียว","หากไพ่ใบนี้เป็นไพ่เพียงใบเดียวในมือคุณ ให้จั่วไพ่ 10 ใบ","A022"
"action","Shoot Me","ยิงฉันสิ","หากถึงเทิร์นถัดไปของคุณแล้วยังมีไพ่เหลืออยู่ในมือ คุณชนะเกม","A023"
"action","The End","จุดจบ","เมื่อถึงเทิร์นถัดไปของคุณ ผู้เล่นที่มีไพ่ในมือน้อยที่สุดชนะ หากเสมอกัน ให้ลองใหม่","A024"
"action","Who's There?","ใครอยู่นั่น?","พลิก Trap ที่วางไว้ของผู้เล่นคนอื่นทุกคน คนละ 1 ใบ โดยไม่ทำให้ Trap ทำงาน","A025"
"action","Magic Trick","มายากล","คุณมีเวลา 10 วินาทีในการเลือกไพ่ 1 ใบจากกองมาเก็บไว้","A026"
"action","1 Year to Live","เหลือเวลาอีก 1 ปี","เมื่อถึงเทิร์นถัดไปของคุณ ผู้เล่นที่มีไพ่ในมือมากที่สุดชนะ หากเสมอกัน ให้ลองใหม่","A027"
